State,Democrat,Republican,Dem_Adv,N
Alabama,36.0,49.6,-13.6,3197
Alaska,35.9,44.3,-8.4,402
Arizona,39.8,47.3,-7.5,4325
Arkansas,41.5,40.8,0.7,2071
California,48.3,34.6,13.7,16197
Colorado,39.9,45.1,-5.2,3671
Connecticut,49.8,34.4,15.4,2020
Delaware,50.5,33.1,17.4,540
District of Columbia,79.0,12.7,66.3,416
Florida,43.0,42.3,0.7,9965
Georgia,40.3,44.3,-4.0,5110
Hawaii,54.3,28.7,25.6,466
Idaho,27.5,57.8,-30.3,1336
Illinois,48.4,35.8,12.6,5888
Indiana,39.0,45.7,-6.7,4197
Iowa,43.2,41.4,1.8,2337
Kansas,34.4,51.3,-16.9,1937
Kentucky,43.5,43.1,0.4,2898
Louisiana,40.3,45.1,-4.8,2655
Maine,43.8,39.4,4.4,1040
Maryland,54.0,33.8,20.2,3571
Massachusetts,52.5,33.4,19.1,3583
Michigan,47.7,36.6,11.1,5056
Minnesota,48.4,38.2,10.2,3873
Mississippi,40.1,47.1,-7.0,1763
Missouri,40.1,44.0,-3.9,3727
Montana,35.9,49.6,-13.7,1137
Nebraska,33.1,52.1,-19.0,1351
Nevada,39.2,43.4,-4.2,1348
New Hampshire,42.3,43.8,-1.5,873
New Jersey,47.4,35.9,11.5,4239
New Mexico,44.7,41.1,3.6,1555
New York,52.0,30.8,21.2,8674
North Carolina,43.4,43.2,0.2,6213
North Dakota,35.8,49.0,-13.2,547
Ohio,44.1,40.5,3.6,6426
Oklahoma,38.6,48.0,-9.4,2583
Oregon,47.2,39.1,8.1,3002
Pennsylvania,46.4,41.2,5.2,8443
Rhode Island,52.5,26.5,26.0,623
South Carolina,36.9,48.8,-11.9,2858
South Dakota,41.5,47.5,-6.0,607
Tennessee,38.1,46.5,-8.4,4231
Texas,38.3,44.1,-5.8,11325
Utah,24.5,63.8,-39.3,2256
Vermont,48.8,34.9,13.9,550
Virginia,41.2,44.2,-3.0,5313
Washington,47.5,37.7,9.8,5333
West Virginia,45.3,41.9,3.4,1202
Wisconsin,45.0,42.2,2.8,4140
Wyoming,26.7,56.6,-29.9,600
